#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (5.718452021199074388e+07+0.000000000000000000e+00j)  (2.208810506210307167e+00+3.492559819676338151e+01j)
 (5.818775740869233012e+07+0.000000000000000000e+00j)  (1.438506297130175193e+00+3.523766615803336322e+01j)
 (5.919099460539392382e+07+0.000000000000000000e+00j)  (6.453146261132195471e-01+3.607700157175938926e+01j)
 (6.019423180209551752e+07+0.000000000000000000e+00j)  (1.429210174897002361e-01+3.735971937502667828e+01j)
 (6.119746899879711121e+07+0.000000000000000000e+00j)  (1.379723893786978239e-01+3.883327744487943534e+01j)
 (6.220070619549869746e+07+0.000000000000000000e+00j)  (6.507868247894110780e-01+4.017036046193083365e+01j)
 (6.320394339220029116e+07+0.000000000000000000e+00j)  (1.505765041526348602e+00+4.109203428421202631e+01j)
 (6.420718058890188485e+07+0.000000000000000000e+00j)  (2.395870821936651573e+00+4.147386886043010890e+01j)
 (6.521041778560347855e+07+0.000000000000000000e+00j)  (2.997560405668839412e+00+4.139467170909420446e+01j)
 (6.621365498230507225e+07+0.000000000000000000e+00j)  (3.093182937788504727e+00+4.110875982669111295e+01j)
 (6.721689217900666595e+07+0.000000000000000000e+00j)  (2.654571163952796464e+00+4.095144294905036730e+01j)
 (6.822012937570825219e+07+0.000000000000000000e+00j)  (1.855728313361498127e+00+4.121279722065094830e+01j)
 (6.922336657240983844e+07+0.000000000000000000e+00j)  (1.009022506785811624e+00+4.202721492503518164e+01j)
 (7.022660376911143959e+07+0.000000000000000000e+00j)  (4.482262190042286543e-01+4.332077188481549967e+01j)
 (7.122984096581302583e+07+0.000000000000000000e+00j)  (4.021526189954685582e-01+4.483701350866329705e+01j)
 (7.223307816251462698e+07+0.000000000000000000e+00j)  (9.067051681823498077e-01+4.623226154717899306e+01j)
 (7.323631535921621323e+07+0.000000000000000000e+00j)  (1.789137042724255888e+00+4.720507484333186454e+01j)
 (7.423955255591779947e+07+0.000000000000000000e+00j)  (2.731314007557696044e+00+4.761113245428789753e+01j)
