#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.997924580000000596e+08+0.000000000000000000e+00j)
 (1.003237196701591951e+06+0.000000000000000000e+00j)  (2.997433639849038124e+08-5.388532014599068090e+06j)
 (2.006474393403183902e+06+0.000000000000000000e+00j)  (2.995960988811437488e+08-1.077525153906629607e+07j)
 (3.009711590104775969e+06+0.000000000000000000e+00j)  (2.993507135071694255e+08-1.615834672433796898e+07j)
 (4.012948786806367803e+06+0.000000000000000000e+00j)  (2.990072925399442911e+08-2.153600700324898586e+07j)
 (5.016185983507960103e+06+0.000000000000000000e+00j)  (2.985659544842767119e+08-2.690642373088829964e+07j)
 (6.019423180209551938e+06+0.000000000000000000e+00j)  (2.980268516298969984e+08-3.226779082424195483e+07j)
 (7.022660376911143772e+06+0.000000000000000000e+00j)  (2.973901699963012338e+08-3.761830540088656545e+07j)
 (8.025897573612735607e+06+0.000000000000000000e+00j)  (2.966561292653793693e+08-4.295616841649690270e+07j)
 (9.029134770314328372e+06+0.000000000000000000e+00j)  (2.958249827018542290e+08-4.827958530093077570e+07j)
 (1.003237196701592021e+07+0.000000000000000000e+00j)  (2.948970170615620613e+08-5.358676659265630692e+07j)
 (1.103560916371751204e+07+0.000000000000000000e+00j)  (2.938725524876095653e+08-5.887592857128588855e+07j)
 (1.203884636041910388e+07+0.000000000000000000e+00j)  (2.927519423944437504e+08-6.414529388798297197e+07j)
 (1.304208355712069571e+07+0.000000000000000000e+00j)  (2.915355733398840427e+08-6.939309219350798428e+07j)
 (1.404532075382228754e+07+0.000000000000000000e+00j)  (2.902238648851605654e+08-7.461756076367101073e+07j)
 (1.504855795052387938e+07+0.000000000000000000e+00j)  (2.888172694430119991e+08-7.981694512195949256e+07j)
 (1.605179514722547121e+07+0.000000000000000000e+00j)  (2.873162721139032245e+08-8.498949965911073983e+07j)
 (1.705503234392706305e+07+0.000000000000000000e+00j)  (2.857213905104231834e+08-9.013348824939954281e+07j)
 (1.805826954062865674e+07+0.000000000000000000e+00j)  (2.840331745699282289e+08-9.524718486341352761e+07j)
 (1.906150673733024672e+07+0.000000000000000000e+00j)  (2.822522063555036187e+08-1.003288741770890653e+08j)
 (2.006474393403184041e+07+0.000000000000000000e+00j)  (2.803790998453188539e+08-1.053768521767827272e+08j)
 (2.106798113073343039e+07+0.000000000000000000e+00j)  (2.784145007104551196e+08-1.103894267601547390e+08j)
 (2.207121832743502408e+07+0.000000000000000000e+00j)  (2.763590860812894702e+08-1.153649183326420933e+08j)
 (2.307445552413661405e+07+0.000000000000000000e+00j)  (2.742135643025243878e+08-1.203016603993014991e+08j)
 (2.407769272083820775e+07+0.000000000000000000e+00j)  (2.719786746769561172e+08-1.251980001518029273e+08j)
