#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.997033256773873666e-01-0.000000000000000000e+00j)
 (1.003237196701591951e+06+0.000000000000000000e+00j)  (-3.677247999086166175e+00-1.441642490145575772e+00j)
 (2.006474393403183902e+06+0.000000000000000000e+00j)  (-3.527913732242138778e+00+4.183001812498660321e+00j)
 (3.009711590104775969e+06+0.000000000000000000e+00j)  (6.735857729711581809e-01+2.585361877369248162e+00j)
 (4.012948786806367803e+06+0.000000000000000000e+00j)  (-3.318611396223422716e+00+1.121926562072766753e+00j)
 (5.016185983507960103e+06+0.000000000000000000e+00j)  (-2.980373807328106750e+00+6.608708362705310257e+00j)
 (6.019423180209551938e+06+0.000000000000000000e+00j)  (1.201406186995488623e+00+4.786431901213698659e+00j)
 (7.022660376911143772e+06+0.000000000000000000e+00j)  (-2.842414878157081937e+00+3.296694905984562940e+00j)
 (8.025897573612735607e+06+0.000000000000000000e+00j)  (-2.424579469697614620e+00+8.683075723476470387e+00j)
 (9.029134770314328372e+06+0.000000000000000000e+00j)  (1.663054859582174583e+00+6.698280870263568332e+00j)
 (1.003237196701592021e+07+0.000000000000000000e+00j)  (-2.470838723801830117e+00+5.248005046008904273e+00j)
 (1.103560916371751204e+07+0.000000000000000000e+00j)  (-1.989651637905921255e+00+1.059036034878711341e+01j)
 (1.203884636041910388e+07+0.000000000000000000e+00j)  (2.001335503776367375e+00+8.491847216060389059e+00j)
 (1.304208355712069571e+07+0.000000000000000000e+00j)  (-2.213160456755185468e+00+7.118785750464398987e+00j)
 (1.404532075382228754e+07+0.000000000000000000e+00j)  (-1.656934382686398921e+00+1.244246620983744478e+01j)
 (1.504855795052387938e+07+0.000000000000000000e+00j)  (2.248799722730667305e+00+1.025092514011167388e+01j)
 (1.605179514722547121e+07+0.000000000000000000e+00j)  (-2.031819575908187403e+00+8.969736226189599648e+00j)
 (1.705503234392706305e+07+0.000000000000000000e+00j)  (-1.388993972792353926e+00+1.428224770996319037e+01j)
 (1.805826954062865674e+07+0.000000000000000000e+00j)  (2.440175492725034978e+00+1.200509160904323025e+01j)
 (1.906150673733024672e+07+0.000000000000000000e+00j)  (-1.895912714186144932e+00+1.082074220359563022e+01j)
 (2.006474393403184041e+07+0.000000000000000000e+00j)  (-1.159061282069050236e+00+1.612268650641921397e+01j)
 (2.106798113073343039e+07+0.000000000000000000e+00j)  (2.598307640800813445e+00+1.376248887704985968e+01j)
 (2.207121832743502408e+07+0.000000000000000000e+00j)  (-1.786146525222210402e+00+1.267654342311127103e+01j)
 (2.307445552413661405e+07+0.000000000000000000e+00j)  (-9.509894812087339444e-01+1.796620504354967807e+01j)
 (2.407769272083820775e+07+0.000000000000000000e+00j)  (2.736679185756842436e+00+1.552399831366479965e+01j)
 (2.508092991753979772e+07+0.000000000000000000e+00j)  (-1.691293595388181581e+00+1.453696786636249882e+01j)
 (2.608416711424139142e+07+0.000000000000000000e+00j)  (-7.554833155413738233e-01+1.981197550732879265e+01j)
 (2.708740431094298139e+07+0.000000000000000000e+00j)  (2.863004944588047884e+00+1.728841900700911438e+01j)
 (2.809064150764457509e+07+0.000000000000000000e+00j)  (-1.604955877628290395e+00+1.640057734464137695e+01j)
 (2.909387870434616506e+07+0.000000000000000000e+00j)  (-5.672773195488418629e-01+2.165847028476273195e+01j)
 (3.009711590104775876e+07+0.000000000000000000e+00j)  (2.981643720577821011e+00+1.905423935035463856e+01j)
 (3.110035309774934873e+07+0.000000000000000000e+00j)  (-1.523527554666138872e+00+1.826588661294020355e+01j)
 (3.210359029445094243e+07+0.000000000000000000e+00j)  (-3.834281496289382307e-01+2.350428991460307770e+01j)
 (3.310682749115253612e+07+0.000000000000000000e+00j)  (3.095023597740814481e+00+2.082018848744016282e+01j)
 (3.411006468785412610e+07+0.000000000000000000e+00j)  (-1.445008134167636848e+00+2.013171973643980550e+01j)
 (3.511330188455571979e+07+0.000000000000000000e+00j)  (-2.023270927026545318e-01+2.534838224048293043e+01j)
 (3.611653908125731349e+07+0.000000000000000000e+00j)  (3.204463543768952150e+00+2.258535939921632618e+01j)
 (3.711977627795889974e+07+0.000000000000000000e+00j)  (-1.368318452816982722e+00+2.199726638585211447e+01j)
 (3.812301347466049343e+07+0.000000000000000000e+00j)  (-2.313009305798445839e-02+2.719005278352148025e+01j)
 (3.912625067136208713e+07+0.000000000000000000e+00j)  (3.310648911509337822e+00+2.434918822630108082e+01j)
 (4.012948786806368083e+07+0.000000000000000000e+00j)  (-1.292903525947827648e+00+2.386204069387132520e+01j)
 (4.113272506476526707e+07+0.000000000000000000e+00j)  (1.545743150769736118e-01+2.902891067711880169e+01j)
 (4.213596226146686077e+07+0.000000000000000000e+00j)  (3.413909360803945248e+00+2.611139263330112570e+01j)
 (4.313919945816845447e+07+0.000000000000000000e+00j)  (-1.218499772011606641e+00+2.572581581399715134e+01j)
 (4.414243665487004817e+07+0.000000000000000000e+00j)  (3.309600541756791969e-01+3.086480207015431176e+01j)
 (4.514567385157163441e+07+0.000000000000000000e+00j)  (3.514382323030173172e+00+2.787190588722812379e+01j)
 (4.614891104827322811e+07+0.000000000000000000e+00j)  (-1.144998047547475251e+00+2.758855990382681611e+01j)
 (4.715214824497482181e+07+0.000000000000000000e+00j)  (5.060781853783613560e-01+3.269774883760911166e+01j)
 (4.815538544167641550e+07+0.000000000000000000e+00j)  (3.612108928387181894e+00+2.963081880854198147e+01j)
 (4.915862263837800920e+07+0.000000000000000000e+00j)  (-1.072363537597605054e+00+2.945038159729735483e+01j)
